Store,Category,Mapped Category
5050store,Decks,Decks
5050store,Skate Shoe,Shoes
5050store,Trucks,Trucks
5050store,"Wax, Tools & DVDs",Other Hardware
5050store,T-Shirt,T-Shirts
5050store,Bolts & Grip,Other Hardware
5050store,Caps,Hats & Beanies
5050store,Polos & Shirts,Shirts & Polos
5050store,Hoods & Crews,Hoodies & Sweaters
5050store,LS T-Shirt,T-Shirts
5050store,Completes,Completes
5050store,Beanies,Hats & Beanies
5050store,Other Accessories,Other Accessories
5050store,T Shirt,T-Shirts
5050store,Bags,Bags
5050store,Bearings,Other Hardware
5050store,Jackets & Coats,Outerwear
5050store,"Jeans, Trousers & Shorts",Bottoms
5050store,Other Hardware,Other Hardware
5050store,Socks & Boxers,Other Accessories
5050store,Wheels,Wheels
5050store,Socks,Other Accessories
5050store,Boxers,Other Accessories
5050store,Pants,Bottoms
5050store,Shorts,Bottoms
5050store,Jackets,Outerwear
5050store,Coats,Outerwear
5050store,Sweaters,Hoodies & Sweaters
5050store,Hoodies,Hoodies & Sweaters
5050store,Shirts,Shirts & Polos
5050store,Polos,Shirts & Polos
5050store,Belts,Other Accessories
5050store,Wallets,Other Accessories
5050store,Hats,Hats & Beanies
5050store,DVDs,Other Hardware
5050store,Grip Tape,Other Hardware
5050store,Tools,Other Hardware
5050store,Risers,Other Hardware
5050store,Bushings,Other Hardware
5050store,Rails,Other Hardware
5050store,Slam Pads,Other Hardware
5050store,Hardware Packs,Other Hardware
5050store,Sunglasses,Other Accessories
5050store,Gloves,Other Accessories
5050store,Scarves,Other Accessories
5050store,Ear Plugs,Other Accessories
5050store,Mouth Guards,Other Accessories
5050store,Helmets,Protection
5050store,Pads,Protection
5050store,DVDs & Media,DVDs & Media
5050store,Other Clothing,Other Clothing
5050store,Other,Other
tvsc,Default type,Other
tvsc,Grip Tape,Other Hardware
tvsc,Underwear,Other Clothing
tvsc,Insoles,Other Hardware
tvsc,Nuts & Bolts,Other Hardware
tvsc,Pants,Bottoms
tvsc,Decks,Decks
tvsc,Jackets,Outerwear
tvsc,Tees,T-Shirts
tvsc,Knee Pads,Protection
tvsc,Hoodie,Hoodies & Sweaters
tvsc,Gift Card,Other
tvsc,Fleece,Hoodies & Sweaters
tvsc,Skateboard Bushings,Other Hardware
tvsc,Trucks,Trucks
tvsc,Changing Robe,Other Clothing
tvsc,Hip Bag,Bags
tvsc,Elbow Pads,Protection
tvsc,Stickers,Other Hardware
tvsc,Sunglasses,Accessories
tvsc,Trousers,Bottoms
tvsc,Crews,Hoodies & Sweaters
tvsc,Caps,Hats & Beanies
tvsc,Miscellaneous,Other
tvsc,Changing Mats,Other Hardware
tvsc,Flip-Flops,Shoes
tvsc,Air Fresheners,Other Hardware
tvsc,Wallets,Accessories
tvsc,Grinder,Other Hardware
tvsc,Pin Badge,Other Hardware
tvsc,Belts,Accessories
tvsc,Mugs,Other Hardware
tvsc,tees,T-Shirts
tvsc,Hoodies,Hoodies & Sweaters
tvsc,Vests,Other Clothing
tvsc,Socks,Other Clothing
tvsc,Completes,Completes
tvsc,Beanies,Hats & Beanies
tvsc,Keychains,Other Hardware
tvsc,Helmets,Protection
tvsc,Wax,Other Hardware
tvsc,Pads,Protection
tvsc,Resins,Other Hardware
tvsc,Ashtray,Other Hardware
tvsc,Bearings,Other Hardware
tvsc,Shoes,Shoes
tvsc,Jeans,Bottoms
tvsc,Skate Tool,Other Hardware
tvsc,Wrist Guards,Protection
tvsc,Shirts,Shirts & Polos
tvsc,Bucket Hats,Hats & Beanies
tvsc,Wheels,Wheels
tvsc,Backpacks,Bags
tvsc,Shorts,Bottoms
decimal,Footwear,Shoes
decimal,Decks,Decks
decimal,Jackets,Outerwear
decimal,Wallet,Bags
decimal,Gift Card,Gift Cards
decimal,Trucks,Trucks
decimal,Headwear,Hats & Beanies
decimal,Stickers,Other Accessories
decimal,Ring,Other Accessories
decimal,Sweatshirts,Hoodies & Sweaters
decimal,Belts,Other Accessories
decimal,Hoodies,Hoodies & Sweaters
decimal,Legwear,Bottoms
decimal,Skateboard Accessories,Other Hardware
decimal,Socks,Other Accessories
decimal,Bags,Bags
decimal,Gadget,Other Accessories
decimal,Bearings,Other Hardware
decimal,Complete,Completes
decimal,Accessories,Other Accessories
decimal,T-Shirts,T-Shirts
decimal,Skateboard Parts,Other Hardware
decimal,Shirts,Shirts & Polos
decimal,Wheels,Wheels
note,T-shirts,T-Shirts
note,Shoe Care,Other
note,Default Type,Other
note,Footwear,Shoes
note,Pants,Bottoms
note,Decks,Decks
note,Jackets,Outerwear
note,Hats,Hats & Beanies
note,Gift Card,Other
note,Trucks,Trucks
note,Complete Skateboards,Completes
note,Sweaters,Hoodies & Sweaters
note,Sweatshirts,Hoodies & Sweaters
note,Hardware,Other Hardware
note,Media,DVDs & Media
note,Safety Gear,Protection
note,Shirts & Tops,Shirts & Polos
note,Socks,Other Clothing
note,Bags,Bags
note,Accessories,Accessories
note,Shirts,Shirts & Polos
note,Wheels,Wheels
